TwarzZeZdjecia	Dopasowanie	OsobaZBazy
0	0.21754592657089233	5
1	0.4439508616924286	0
2	0.6270177364349365	3
3	0.3607636094093323	4
4	0.4701977074146271	2
5	0.08197519183158875	4
6	0.15965116024017334	3
7	0.023388586938381195	0
8	0.2371940165758133	6
9	0.12786152958869934	0
11	0.207989901304245	1
12	0.2301931232213974	1
13	0.14087148010730743	0
